State Postal Code,State FIPS Code,District ID,Name,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
AZ,04,03450,Glendale Union High School District,"369,965","20,039","3,484"
AZ,04,03500,Globe Unified District,"10,096","1,592",232
AZ,04,03550,Grand Canyon Unified District,"2,412",201,74
AZ,04,03660,Hackberry School District,"1,265",75,10
AZ,04,03730,Hayden-Winkelman Unified District,"1,058",166,45
AZ,04,00026,Heber-Overgaard Unified District,"4,418",474,171
AZ,04,03780,Higley Unified District,"93,815","20,080","1,038"
AZ,04,08460,Hillside Elementary District,94,17,4
AZ,04,03820,Holbrook Unified District,"9,939","1,941",538
AZ,04,03870,Humboldt Unified District,"65,098","8,911","1,359"
AZ,04,03900,Hyder Elementary District,357,36,19
AZ,04,03950,Indian Oasis-Baboquivari Unified District,"6,539","1,399",118
AZ,04,03960,Isaac Elementary District,"44,710","6,853","1,952"
AZ,04,03990,J. O. Combs Unified School District,"49,979","10,233",778
AZ,04,04010,Joseph City Unified District,"1,800",378,122
AZ,04,04060,Kayenta Unified District,"10,330","2,380",843
AZ,04,00295,Kingman Unified School District,"76,061","9,445","2,126"
AZ,04,04170,Kirkland Elementary District,"1,174",122,22
AZ,04,04200,Klondyke Elementary District,91,13,8
AZ,04,04230,Kyrene Elementary District,"166,012","16,998","1,181"
AZ,04,04280,Lake Havasu Unified District,"63,659","6,666","1,225"
AZ,04,04290,Laveen Elementary District,"57,270","8,722","1,269"
AZ,04,04320,Liberty Elementary District,"42,152","5,691",513
AZ,04,04380,Litchfield Elementary District,"110,337","13,777","1,137"
AZ,04,04410,Littlefield Unified District,"3,327",358,41
AZ,04,04440,Littleton Elementary District,"54,253","8,489","1,176"
AZ,04,04500,Madison Elementary District,"64,915","5,134",573
AZ,04,04530,Maine Consolidated School District,"1,454",179,63
AZ,04,04570,Mammoth-San Manuel Unified District,"5,072",780,113
AZ,04,04630,Marana Unified District,"106,218","17,491","1,540"
AZ,04,04720,Maricopa Unified School District,"69,965","13,163","1,442"
AZ,04,04820,Mayer Unified District,"6,142",718,154
AZ,04,04860,McNary Elementary District,510,157,51
AZ,04,04920,McNeal Elementary District,436,82,13
AZ,04,04970,Mesa Unified District,"513,827","79,657","11,116"
AZ,04,05030,Miami Unified District,"6,867","1,177",276
AZ,04,05070,Mingus Union High School District,"37,020","1,445",229
AZ,04,05100,Mobile Elementary District,75,5,0
AZ,04,05190,Mohave Valley Elementary District,"24,889","2,089",449
AZ,04,05220,Mohawk Valley Elementary District,"1,058",97,22
AZ,04,05320,Morenci Unified District,"6,712","1,408",99
AZ,04,05340,Morristown Elementary District,"1,787",185,23
AZ,04,05400,Murphy Elementary District,"16,067","1,708",557
AZ,04,05430,Naco Elementary District,"1,210",273,42
AZ,04,05460,Nadaburg Unified School District,"10,364","1,681",163
AZ,04,05530,Nogales Unified District,"21,611","4,361","1,515"
AZ,04,05640,Oracle Elementary District,"18,056",878,103
AZ,04,05670,Osborn Elementary District,"43,701","3,390",685
AZ,04,05730,Owens-Whitney Elementary District,579,67,11
AZ,04,05820,Page Unified District,"12,574","2,616",820
AZ,04,05850,Palo Verde Elementary District,"3,179",459,55
AZ,04,08430,Paloma School District,178,57,2
AZ,04,05880,Palominas Elementary District,"10,078","1,388",227
AZ,04,05930,Paradise Valley Unified District,"277,349","40,270","3,680"
AZ,04,05980,Parker Unified School District,"9,478","1,407",393
AZ,04,06000,Patagonia Elementary District,"1,423",96,16
AZ,04,06030,Patagonia Union High School District,"3,262",109,12
AZ,04,06070,Payson Unified District,"23,047","2,652",530
AZ,04,06120,Peach Springs Unified District,"1,398",332,41
AZ,04,06150,Pearce Elementary District,"1,910",115,32
AZ,04,06210,Pendergast Elementary District,"79,700","11,131","1,895"
AZ,04,06250,Peoria Unified School District,"260,839","43,283","4,455"
AZ,04,06300,Phoenix Elementary District,"60,869","5,487","1,472"
AZ,04,06330,Phoenix Union High School District,"749,732","39,882","7,437"
AZ,04,06360,Picacho Elementary District,"7,697",113,19
AZ,04,06440,Pima Unified District,"4,330","1,021",159
AZ,04,06510,Pine Strawberry Elementary District,"2,948",208,76
AZ,04,00023,Pinon Unified District,"6,807","1,436",550
AZ,04,06630,Pomerene Elementary District,910,127,24
AZ,04,06730,Prescott Unified District,"65,640","5,629",726
AZ,04,06780,Quartzsite Elementary District,"3,827",123,50
AZ,04,06810,Queen Creek Unified District,"68,340","14,899",588
AZ,04,06850,Ray Unified District,"3,335",559,54
AZ,04,06870,Red Mesa Unified District,"7,089","1,394",478
AZ,04,06900,Red Rock Elementary District,"4,253",601,46
AZ,04,06930,Redington Elementary District,86,18,4
AZ,04,07020,Riverside Elementary District,"7,916","1,339",260
AZ,04,07080,Roosevelt Elementary District,"124,056","17,034","3,594"
AZ,04,07130,Round Valley Unified District,"7,332","1,403",358
AZ,04,07200,Sacaton Elementary District,"9,020","1,430",199
AZ,04,07170,Saddle Mountain Unified School District,"14,864","3,182",394
AZ,04,07240,Safford Unified District,"17,727","3,344",707
AZ,04,07300,Sahuarita Unified District,"32,066","6,586",556
AZ,04,00005,Salome Consolidated Elementary District,"2,051",73,28
AZ,04,06960,San Carlos Unified District,"8,261","2,115",765
AZ,04,07380,San Fernando Elementary District,52,6,0
AZ,04,07430,San Simon Unified District,665,72,19
AZ,04,06740,Sanders Unified District,"5,127",951,333
AZ,04,07500,Santa Cruz Elementary District,"1,791",371,80
AZ,04,07520,Santa Cruz Valley Unified District,"22,485","4,376",999
AZ,04,07530,Santa Cruz Valley Union High School District,"18,396",661,99
AZ,04,07570,Scottsdale Unified District,"245,903","29,217","1,686"
AZ,04,09733,Sedona-Oak Creek Joint Unified District,"18,163","1,008",184
AZ,04,07630,Seligman Unified District,"1,388",123,60
AZ,04,07680,Sentinel Elementary District,123,23,2
AZ,04,07700,Show Low Unified District,"17,868","2,773",515
AZ,04,01460,Sierra Vista Unified District,"48,686","7,430",924
AZ,04,07770,Skull Valley Elementary District,541,59,16
AZ,04,07820,Snowflake Unified District,"13,219","2,908",603
AZ,04,07860,Solomon Elementary District,"2,766",365,72
AZ,04,07890,Somerton Elementary District,"29,248","3,885",955
AZ,04,07920,Sonoita Elementary District,"1,838",111,12
AZ,04,08020,St. David Unified District,"3,678",542,55
AZ,04,08080,St. Johns Unified District,"4,037",871,220
AZ,04,08130,Stanfield Elementary District,"4,741",551,91
AZ,04,08170,Sunnyside Unified District,"90,340","17,144","4,516"
AZ,04,08230,Superior Unified School District,"3,343",432,53
AZ,04,08280,Tanque Verde Unified District,"11,579","1,636",61
AZ,04,08310,Tempe School District,"166,100","12,340","2,173"
AZ,04,08340,Tempe Union High School District,"332,112","14,502","1,339"
AZ,04,08410,Thatcher Unified District,"8,436","1,774",303
AZ,04,08490,Tolleson Elementary District,"17,675","2,731",568
AZ,04,08520,Tolleson Union High School District,"207,136","13,201","1,845"
AZ,04,08550,Toltec Elementary District,"16,679","1,651",250
AZ,04,08600,Tombstone Unified District,"7,082",835,203
AZ,04,05760,Tonto Basin Elementary District,"1,648",103,38
AZ,04,08640,Topock Elementary District,"2,507",139,18
AZ,04,08680,Tuba City Unified District,"15,000","3,072","1,178"
AZ,04,08800,Tucson Unified District,"490,411","66,528","12,934"
AZ,04,08820,Union Elementary District,"19,372","3,344",518
AZ,04,08850,Vail Unified District,"69,888","14,099",791
AZ,04,08880,Valentine Elementary District,224,31,7
AZ,04,08910,Valley Union High School District,"3,365",145,35
AZ,04,00022,Vernon Elementary District,"2,082",201,77
AZ,04,09030,Walnut Grove Elementary District,179,6,1
AZ,04,09060,Washington Elementary District,"256,733","28,978","5,759"
AZ,04,09090,Wellton Elementary District,"3,241",235,66
AZ,04,09120,Wenden Elementary District,498,47,19
AZ,04,09160,Whiteriver Unified District,"14,121","3,379","1,211"
AZ,04,09190,Wickenburg Unified District,"17,005","1,450",175
AZ,04,09250,Willcox Unified District,"7,147","1,239",259
AZ,04,09310,Williams Unified District,"6,121",879,257
AZ,04,09360,Williamson Valley Elementary School District,754,60,16
AZ,04,09390,Wilson Elementary District,"4,677",567,186
AZ,04,09430,Window Rock Unified District,"10,614","2,128",751
AZ,04,09460,Winslow Unified District,"11,196","2,077",513
AZ,04,09510,Yarnell Elementary District,"1,172",78,24
AZ,04,09540,Young Elementary School District,865,79,29
AZ,04,09570,Yucca Elementary District,756,70,9
AZ,04,09600,Yuma Elementary District,"105,426","10,700","2,235"
