latitude,longitude,Offers CS?,is High School,School District Name,School Name,State,Grade Levels,teaches_cs
45.742123,-87.084052,No,HS,DELTA-SCHOOLCRAFT ISD,DELTASCHOOLCRAFT AREA CENTER,MI,____hi,HN
47.126946,-88.577668,No,HS,COPPER COUNTRY ISD,CAREER AND TECHNICAL EDUCATION,MI,____hi,HN
41.947204,-84.65798,No,HS,HILLSDALE ISD,HILLSDALE AREA CAREER CENTER,MI,____hi,HN
46.257751,-84.4547,No,HS,MICHIGAN DEPARTMENT OF CORRECTIONS,CHIPPEWA CORRECTIONAL FACILITY,MI,____hi,HN
46.249399,-84.456178,No,HS,MICHIGAN DEPARTMENT OF CORRECTIONS,KINROSS CORRECTIONAL FACILITY,MI,____hi,HN
45.805191,-88.083205,No,HS,DICKINSON-IRON ISD,DICKINSONIRON TECH ED CENTER,MI,____hi,HN
44.24532,-86.272541,No,HS,MICHIGAN DEPARTMENT OF CORRECTIONS,OAKS CORRECTIONAL FACILITY,MI,____hi,HN
46.378466,-86.638653,No,HS,MICHIGAN DEPARTMENT OF CORRECTIONS,ALGER MAXIMUM CORRECTIONAL FACILITY,MI,____hi,HN
46.330317,-85.508113,No,HS,MICHIGAN DEPARTMENT OF CORRECTIONS,NEWBERRY CORRECTIONAL FACILITY,MI,____hi,HN
43.41392,-84.592411,No,HS,MICHIGAN DEPARTMENT OF CORRECTIONS,CENTRAL MICHIGAN CORRECTIONAL FACILITY,MI,____hi,HN
44.280206,-83.584579,No,HS,IOSCO RESA,CAREER AND TECHNICAL EDUCATION CENTER,MI,____hi,HN
42.650137,-83.536534,No,HS,HURON VALLEY SCHOOLS,HURON VALLEY ADULT EDUCATION,MI,____hi,HN
41.887158,-84.007496,No,HS,MICHIGAN DEPARTMENT OF CORRECTIONS,GUS HARRISON CORRECTIONAL FACILITY,MI,____hi,HN
42.9755,-85.0931,No,HS,MICHIGAN DEPARTMENT OF CORRECTIONS,MICHIGAN REFORMATORY,MI,____hi,HN
46.51153,-87.38267,No,HS,MICHIGAN DEPARTMENT OF CORRECTIONS,MARQUETTE BRANCH PRISON,MI,____hi,HN
42.174163,-83.690738,No,HS,MICHIGAN DEPARTMENT OF CORRECTIONS,HURON VALLEY WOMENS,MI,____hi,HN
