latitude,longitude,Offers CS?,School District Name,School Name,State,Agency ID,State Abbr,Grades 9-12 Students [District] 2023-24,Male Students [District] 2023-24,Female Students [District] 2023-24,American Indian/Alaska Native Students [District] 2023-24,Asian or Asian/Pacific Islander Students [District] 2023-24,Hispanic Students [District] 2023-24,Black or African American Students [District] 2023-24,White Students [District] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [District] 2023-24,Two or More Races Students [District] 2023-24,Pupil/Teacher Ratio [District] 2023-24,Full-Time Equivalent (FTE) Teachers [District] 2023-24,Total Staff [District] 2023-24,Librarians/media specialists [District] 2023-24,Media Support Staff [District] 2023-24,Total Revenue - Local Sources (TLOCREV) [District Finance] 2020-21,Total Revenue - State Sources (TSTREV) [District Finance] 2020-21,Total Revenue - Federal Sources (TFEDREV) [District Finance] 2020-21,Total Revenue (TOTALREV) per Pupil (V33) [District Finance] 2020-21,Diploma Recipients & Other Completers [District] 2022-23,Estimated Total Population,Estimated Population 5-17,Estimated number of relevant children 5 to 17 years old in poverty who are related to the householder
21.387435,-158.007369,1,HAWAII DEPARTMENT OF EDUCATION,Hawaii Technology Academy-PCS,HI,1500030,HI,49583,88269,81039,223,40198,32288,2206,18764,42135,33494,13.98,12112.91,23107.87,83.5,48.8,19108000,2851764000,371018000,18374,11424,"1,435,138","215,961","24,159"
43.831859,-115.833654,1,BASIN SCHOOL DISTRICT,IDAHO CITY HIGH SCHOOL,ID,1600180,ID,104,172,175,0,3,12,0,321,1,10,13.58,25.55,49.31,0,0.63,683000,2819000,882000,12970,21,"4,062",481,56
44.515763,-116.045756,0,CASCADE DISTRICT,CASCADE JR/SR HIGH SCHOOL,ID,1600630,ID,60,109,97,0,0,11,1,191,1,2,11.44,18,32.1,0,0,1156000,1991000,908000,18022,8,"2,784",294,49
42.526505,-113.804174,0,CASSIA COUNTY JOINT DISTRICT,BURLEY SENIOR HIGH SCHOOL,ID,1600660,ID,1679,2876,2631,11,15,1943,16,3456,6,60,17.72,310.82,528.37,1,6.4,7673000,34881000,9659000,9685,407,"25,167","5,735",701
47.697979,-116.805501,1,COEUR D'ALENE DISTRICT,COEUR D'ALENE VIRTUAL ACADMEY,ID,1600780,ID,3246,5014,4639,57,64,845,52,8111,25,499,17.36,556.07,1024.26,2,9.46,29795000,59221000,15572000,10447,658,"93,480","14,738","1,472"
47.333407,-116.890619,0,PLUMMER-WORLEY JOINT DISTRICT,LAKESIDE HIGH SCHOOL,ID,1600815,ID,123,186,173,173,0,40,1,86,0,59,10.28,34.91,74.27,0,1.24,999000,3239000,3022000,19105,14,"4,440",800,109
43.872692,-116.484128,0,EMMETT INDEPENDENT DISTRICT,BLACK CANYON JR/SR HIGH SCHOOL,ID,1601020,ID,821,1348,1218,12,15,387,6,2053,9,84,17.3,148.32,275.8,0,3.2,2550000,17026000,5900000,10268,155,"21,071","3,540",416
43.864037,-116.508638,0,EMMETT INDEPENDENT DISTRICT,EMMETT HIGH SCHOOL,ID,1601020,ID,821,1348,1218,12,15,387,6,2053,9,84,17.3,148.32,275.8,0,3.2,2550000,17026000,5900000,10268,155,"21,071","3,540",416
44.072548,-111.439605,1,FREMONT COUNTY JOINT DISTRICT,NORTH FREMONT JR/SR HIGH SCHOOL,ID,1601110,ID,656,1174,1054,16,11,401,8,1752,3,37,17.52,127.15,237.02,1,0.9,5462000,14071000,4347000,11122,138,"12,958","2,203",295
43.493676,-112.027763,0,IDAHO FALLS DISTRICT,EMERSON HIGH SCHOOL,ID,1601530,ID,3192,5165,4956,43,51,2264,38,7237,9,479,18.35,551.63,1035.91,4,7.06,18191000,59669000,15616000,9526,695,"65,996","13,256","1,651"
43.493202,-112.019154,0,IDAHO FALLS DISTRICT,D91 ONLINE ACADEMY - SECONDARY,ID,1601530,ID,3192,5165,4956,43,51,2264,38,7237,9,479,18.35,551.63,1035.91,4,7.06,18191000,59669000,15616000,9526,695,"65,996","13,256","1,651"
42.727382,-114.519763,0,JEROME JOINT DISTRICT,FALLS CITY ACADEMY,ID,1601590,ID,1231,2093,1985,16,11,2376,17,1627,8,23,18.38,221.92,438.06,1,2.6,6344000,25583000,7998000,9805,229,"22,271","4,922",639
